play_type,wp,wpa,off_score,def_score,down,yards_to_go,yardline,yardline_text,quarter,seconds_left,week,home_team,away_team,offense_team,defense_team,offense_team_abbrev,defense_team_abbrev,offense_won,season_year,play_result,description,player_ids_string
Rush,98.100997751,0,21,3,1,10,35,Opp 15,Q3,597,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(9:57) D.Freeman right tackle to NE 6 for 9 yards (T.Flowers).,"00-0031566,00-0031285"
Rush,98.100997751,-1.1102230246299998e-14,21,3,2,1,44,Opp 6,Q3,568,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(9:28) D.Freeman up the middle to NE 9 for -3 yards (E.Rowe; R.Ninkovich).,"00-0031555,00-0024349,00-0031285"
Rush,1.37493556332,0.0995534365242,3,28,1,10,-11,Own 39,Q3,433,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(7:13) (Shotgun) D.Lewis up the middle pushed ob at NE 47 for 8 yards (J.Collins).,"00-0031552,00-0028087"
Pass,6.5335332641,2.96396434157,12,28,3,11,24,Opp 26,Q4,423,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(7:03) (Shotgun) T.Brady pass short left to M.Mitchell to ATL 14 for 12 yards (C.Goodwin).,"00-0031357,00-0032400,00-0019596"
Pass,22.7917540182,-2.4191591899300002,0,7,1,10,-34,Own 16,Q2,730,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(12:10) (Shotgun) T.Brady pass incomplete deep right to M.Mitchell (C.Goodwin).,"00-0031357,00-0032400,00-0019596"
Pass,19.5867276142,-1.50760136155,0,7,3,7,-31,Own 19,Q2,677,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(11:17) (Shotgun) T.Brady pass short left to J.White to NE 24 for 5 yards (C.Goodwin).,"00-0031357,00-0019596,00-0031062"
Rush,70.2902570215,8.58998290859,0,0,2,1,45,Opp 5,Q2,740,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,Touchdown,"(12:20) (Shotgun) D.Freeman left end for 5 yards, TOUCHDOWN.",00-0031285
Penalty,98.100997751,-1.1102230246299998e-14,28,9,2,1,18,Opp 32,Q3,90,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,"(1:30) T.Coleman left tackle to NE 33 for -1 yards (T.Flowers). PENALTY on ATL-J.Matthews, Offensive Holding, 10 yards, enforced at NE 32 - No Play.",00-0031279
Penalty,85.9449760766,-3.00990252322,28,20,3,23,15,Opp 35,Q4,230,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,"(3:50) (Shotgun) M.Ryan pass short left to M.Sanu pushed ob at NE 26 for 9 yards (L.Ryan). PENALTY on ATL-J.Matthews, Offensive Holding, 10 yards, enforced at NE 35 - No Play.",00-0031279
Penalty,98.100997751,0.375377443844,21,3,3,4,41,Opp 9,Q3,523,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,First Down,"(8:43) (Shotgun) M.Ryan pass incomplete short middle to T.Gabriel (M.Butler). PENALTY on NE-M.Butler, Defensive Pass Interference, 3 yards, enforced at NE 9 - No Play.",00-0031218
Rush,20.3725948282,-0.7858672140290001,0,7,2,10,-34,Own 16,Q2,724,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(12:04) D.Lewis up the middle to NE 19 for 3 yards (R.Allen).,"00-0031181,00-0028087"
Pass,31.238311183599997,2.26618373168,20,28,1,10,29,Opp 21,Q4,117,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(1:57) (Shotgun) T.Brady pass short right to J.White to ATL 8 for 13 yards (B.Poole; R.Allen).,"00-0031181,00-0019596,00-0031062,00-0032596"
Pass,3.6690085560499996,0.627566742807,0,21,2,10,-7,Own 43,Q2,97,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(1:37) (Shotgun) T.Brady pass short right to J.White to ATL 29 for 28 yards (R.Allen).,"00-0031181,00-0019596,00-0031062"
Pass,9.497497605669999,0.22843104164199998,12,28,1,10,36,Opp 14,Q4,394,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(6:34) (Shotgun) T.Brady pass short left to D.Amendola to ATL 6 for 8 yards (R.Allen).,"00-0031181,00-0019596,00-0026035"
Pass,5.543705205869999,1.38777878078e-15,9,28,2,12,38,Opp 12,Q4,667,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,"(11:07) (Shotgun) T.Brady pass short left to J.White to ATL 10 for 2 yards (J.Collins, D.Campbell).","00-0031062,00-0032401,00-0019596,00-0031552"
Pass,0.8415513688549999,0.5333841944650001,3,28,2,8,-23,Own 27,Q3,471,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(7:51) (Shotgun) T.Brady pass short left to J.White to NE 39 for 12 yards (J.Collins; R.Allen).,"00-0031062,00-0031181,00-0019596,00-0031552"
Pass,48.423920802800005,4.51973578893,0,0,3,1,-1,Own 49,Q1,435,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(7:15) (Shotgun) T.Brady pass short middle to J.White to ATL 40 for 11 yards (J.Collins).,"00-0031062,00-0019596,00-0031552"
Rush,34.1864229583,10.1609646993,20,28,2,1,49,Opp 1,Q4,60,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,Touchdown,"(1:00) J.White right guard for 1 yard, TOUCHDOWN.",00-0031062
Rush,63.7034696517,0,28,28,2,2,48,Opp 2,OT,668,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,Touchdown,"(11:08) J.White right end for 2 yards, TOUCHDOWN.",00-0031062
Rush,17.119848640999997,-1.76582908876,18,28,0,0,48,Opp 2,Q4,356,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(Direct Snap) TWO-POINT CONVERSION ATTEMPT. J.White rushes up the middle. ATTEMPT SUCCEEDS.,00-0031062
Pass,9.72592864731,1.13976153696,0,14,2,10,10,Opp 40,Q2,276,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(4:36) T.Brady pass short middle to M.Bennett to ATL 27 for 13 yards (D.Olatoye).,"00-0030699,00-0019596,00-0026201"
Pass,4.296575298860001,0.495776162111,9,28,2,10,-9,Own 41,Q4,793,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(13:13) (Shotgun) T.Brady pass short right to M.Mitchell to ATL 41 for 18 yards (R.Alford).,"00-0030528,00-0032400,00-0019596"
Rush,3.1687296660600004,0,0,21,1,10,-25,Own 25,Q2,141,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,"(2:21) (Shotgun) J.White right guard to NE 28 for 3 yards (R.Hageman, R.Alford).","00-0030528,00-0031281,00-0031062"
Rush,58.2125144553,1.6918477664300002,28,28,1,10,25,Opp 25,OT,716,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(11:56) (Shotgun) J.White right end pushed ob at ATL 15 for 10 yards (R.Alford).,"00-0030528,00-0031062"
Rush,7.76914360122,-1.38777878078e-15,0,14,2,10,-8,Own 42,Q2,413,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(6:53) (Shotgun) J.White right end to NE 49 for 7 yards (R.Alford).,"00-0030528,00-0031062"
Rush,2.7596181986,0.40911146745599997,3,28,2,6,34,Opp 16,Q3,197,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(3:17) L.Blount right tackle to ATL 7 for 9 yards (R.Alford).,"00-0030528,00-0027325"
