Quarter,Time,Down,ToGo,Location,Detail,NWE,ATL,EPB,EPA,Win%
2,1:43,1,10,NWE 43,Tom Brady pass incomplete deep right intended for Julian Edelman,0,21,1.8,1.25,96.8
2,1:37,2,10,NWE 43,Tom Brady pass complete short right to James White for 28 yards (tackle by Ricardo Allen),0,21,1.25,3.64,94.7
2,0:59,1,10,ATL 29,Tom Brady pass complete short right to Chris Hogan for 8 yards (tackle by Keanu Neal),0,21,3.64,4.18,94.3
2,0:33,2,2,ATL 21,Tom Brady pass incomplete short right intended for Chris Hogan,0,21,4.18,3.47,95.2
2,0:30,3,2,ATL 21,Tom Brady pass complete short middle to James White for 6 yards (tackle by Deion Jones),0,21,3.47,4.58,94.0
2,0:23,,,,Timeout #2 by New England Patriots,0,21,0,0,
2,0:23,1,10,ATL 15,Tom Brady pass incomplete short left intended for Julian Edelman (defended by Robert Alford),0,21,4.58,3.95,94.7
2,0:18,2,10,ATL 15,Tom Brady pass complete short left to James White for 5 yards (tackle by Keanu Neal). Penalty on Martellus Bennett: Offensive Holding 10 yards,0,21,3.95,3.35,95.4
2,0:12,2,15,ATL 20,Tom Brady pass complete short left to Martellus Bennett for -3 yards (tackle by Ayodeji Olatoye and Grady Jarrett),0,21,3.35,2.28,96.4
2,0:05,3,18,ATL 23,Stephen Gostkowski 41 yard field goal good,3,21,2.28,3,95.8
2,0:05,,,,Timeout #3 by New England Patriots,3,21,0,0,
2,0:02,,,NWE 35,Stephen Gostkowski kicks off 38 yards,3,21,0,1.27,95.8
3,15:00,,,NWE 35,Stephen Gostkowski kicks off 60 yards returned by Eric Weems for 14 yards (tackle by Nate Ebner),3,21,0,-0.15,96.0
3,14:54,1,10,ATL 19,Devonta Freeman left tackle for -3 yards (tackle by Dont'a Hightower),3,21,0.15,-0.87,95.0
3,14:11,2,13,ATL 16,Matt Ryan pass complete short middle to Devonta Freeman for 7 yards (tackle by Logan Ryan),3,21,-0.87,-0.55,95.6
3,13:24,3,6,ATL 23,Matt Ryan pass incomplete short left intended for Taylor Gabriel (defended by Eric Rowe),3,21,-0.55,-1.83,94.4
3,13:19,4,6,ATL 23,Matthew Bosher punts 56 yards returned by Julian Edelman for 26 yards (tackle by C.J. Goodwin),3,21,-1.83,-2.06,94.2
,,,,,ATL challenged the runner was in bounds ruling and the play was overturned. Matthew Bosher punts 56 yards returned by Julian Edelman for 26 yards (tackle by Eric Weems),,,,,
3,13:07,1,10,NWE 47,Tom Brady pass incomplete deep left intended for Chris Hogan,3,21,2.06,1.52,94.9
3,13:02,2,10,NWE 47,Tom Brady pass complete short right to Danny Amendola for -2 yards (tackle by Brian Poole). Penalty on Chris Hogan: Offensive Pass Interference (Declined),3,21,1.52,0.56,95.9
3,12:57,,,,Timeout #1 by Atlanta Falcons,3,21,0,0,
3,12:57,3,12,NWE 45,Tom Brady pass incomplete short middle intended for Julian Edelman,3,21,0.56,-0.39,96.8
3,12:52,4,12,NWE 45,Ryan Allen punts 40 yards fair catch by Eric Weems,3,21,-0.39,0.22,96.3
3,12:45,1,10,ATL 15,Matt Ryan pass complete short middle to Taylor Gabriel for 17 yards (tackle by Eric Rowe),3,21,-0.22,1.07,97.3
3,12:07,1,10,ATL 32,Tevin Coleman right tackle for 5 yards (tackle by Elandon Roberts),3,21,1.07,1.2,97.6
3,11:36,2,5,ATL 37,Matt Ryan pass complete deep middle to Taylor Gabriel for 35 yards (tackle by Duron Harmon),3,21,1.2,3.71,98.8
3,11:06,1,10,NWE 28,Tevin Coleman left end for no gain (tackle by Patrick Chung),3,21,3.71,3.17,98.7
3,10:26,2,10,NWE 28,Matt Ryan pass complete short middle to Mohamed Sanu for 13 yards (tackle by Eric Rowe),3,21,3.17,4.58,99.2
3,9:57,1,10,NWE 15,Devonta Freeman right tackle for 9 yards (tackle by Trey Flowers),3,21,4.58,5.6,99.5
3,9:28,2,1,NWE 6,Devonta Freeman middle for -3 yards (tackle by Eric Rowe and Rob Ninkovich),3,21,5.6,4.22,99.3
3,8:43,3,4,NWE 9,Matt Ryan pass incomplete short middle intended for Taylor Gabriel (defended by Malcolm Butler). Penalty on Malcolm Butler: Defensive Pass Interference 3 yards (no play),3,21,4.22,5.83,99.6
3,8:36,1,6,NWE 6,Matt Ryan pass complete short right to Tevin Coleman for 6 yards touchdown,3,27,5.83,7,99.7
3,8:31,,,NWE 15,Matt Bryant kicks extra point good,3,28,0,0,99.8
3,8:31,,,ATL 35,Matthew Bosher kicks off 65 yards touchback,3,28,0,-0.61,99.7
3,8:31,1,10,NWE 25,Tom Brady pass complete short middle to Dion Lewis for 2 yards (tackle by Keanu Neal),3,28,0.61,0.33,99.7
3,7:51,2,8,NWE 27,Tom Brady pass complete short left to James White for 12 yards (tackle by Jalen Collins and Ricardo Allen),3,28,0.33,1.53,99.6
3,7:13,1,10,NWE 39,Dion Lewis middle for 8 yards (tackle by Jalen Collins),3,28,1.53,2.07,99.6
3,6:46,2,2,NWE 47,Dion Lewis middle for -1 yards (tackle by Brooks Reed),3,28,2.07,1.22,99.7
3,6:12,3,3,NWE 46,Julian Edelman pass incomplete deep right intended for Dion Lewis,3,28,1.22,-0.32,99.9
3,6:04,4,3,NWE 46,Tom Brady pass complete short left to Danny Amendola for 17 yards (tackle by De'Vondre Campbell),3,28,-0.32,3.12,99.5
